t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
0.075,5.388329,0.249779082,0.853834664,6.52590908,-2.65997478,0.473247,1.15771,10.1204,0.0487666328,0.891084383,9.29075143
0.08,5.34664974,0.244298991,0.918588958,5.17130392,0.937453343,-0.158966,0.875641,9.67536,0.00915423609,0.888139495,9.36409218
0.085,5.31074697,0.26049704,0.983366283,5.85623264,2.8637081,-0.48737,0.9941,9.69211,-0.0855276382,0.908345032,9.42664168
0.09,5.28792819,0.308784595,1.06620033,5.92512779,3.53051022,-0.603543,1.00982,9.73009,-0.184307641,0.927695226,9.48450604
0.095,5.29168745,0.375791621,1.15948891,8.34259794,2.94631085,-0.508191,1.43262,9.7694,-0.246068742,1.02397899,9.53883228
0.1,5.31240291,0.456881096,1.24172719,5.16333001,1.92951786,-0.322164,0.860609,9.52403,-0.260579296,0.992826079,9.53600964
0.105,5.32869492,0.538492629,1.3218009,4.37521288,-0.229994181,0.0396137,0.752841,9.83969,-0.203335694,0.947063485,9.59391824
0.11,5.34498674,0.595251878,1.40818676,7.13428235,-1.03703639,0.167017,1.1459,9.15517,-0.132713387,0.984979487,9.51025364
0.115,5.35261411,0.629416771,1.50011089,4.08156198,-1.29560351,0.228553,0.719283,10.08,-0.0638237413,0.934314001,9.61889819
0.12,5.35324285,0.664732658,1.59480538,5.64887971,2.0257471,-0.351101,0.977067,9.87812,-0.11860445,0.942466542,9.66832902
0.125,5.36390379,0.708563035,1.68479874,7.51486479,1.3452971,-0.225281,1.25459,9.51049,-0.13894653,1.00198516,9.6382308
0.13,5.3762986,0.763744816,1.76922119,5.4705111,3.1322788,-0.54159,0.943507,9.85184,-0.215726343,0.990833995,9.6789638
0.135,5.37471229,0.843209449,1.84863601,5.72774539,2.62835047,-0.462328,1.00513,10.021,-0.262750648,0.993560091,9.74418645
0.14,5.39242117,0.927183136,1.93636355,9.34238949,-0.273765457,0.0473853,1.60988,9.78555,-0.203611032,1.11108572,9.75207404
0.145,5.42511678,1.00288455,2.03601927,4.48451962,0.183504024,-0.0304219,0.742697,9.46957,-0.170585712,1.04083792,9.69820353
0.15,5.455257,1.09514646,2.14657189,7.86385545,2.91067872,-0.497842,1.33966,9.69935,-0.232989995,1.0978201,9.69842215
0.155,5.47853203,1.19399886,2.25696484,2.55313058,1.23610794,-0.209897,0.433323,9.71793,-0.228586407,0.971107597,9.70214209
0.16,5.48844329,1.27844606,2.35783316,7.44764612,0.609241569,-0.107152,1.30614,9.99166,-0.205430161,1.0349947,9.75735007
0.165,5.49379301,1.34431885,2.46447554,6.49630951,0.922717684,-0.157646,1.10742,9.72527,-0.196318231,1.04880543,9.75123274
0.17,5.4848229,1.40149277,2.56797381,5.29077701,1.42911813,-0.23162,0.856091,9.24456,-0.203049902,1.01205685,9.65461565
0.175,5.48104217,1.45718167,2.66202881,8.53278636,2.05545332,-0.367332,1.51862,10.1217,-0.234376745,1.10865304,9.74368366
0.18,5.47898007,1.50116727,2.74794294,3.57353262,0.878482324,-0.148029,0.601722,9.63512,-0.217911152,1.0119867,9.72298173
0.185,5.48131698,1.54871632,2.82379818,7.69418824,4.82626863,-0.839222,1.33074,9.84989,-0.336388501,1.07276955,9.74718178
0.19,5.50397211,1.60142607,2.91000276,5.52864925,0.271048619,-0.0462199,0.94129,9.7247,-0.281056445,1.0476978,9.74289474
0.195,5.5280693,1.65776538,3.00312158,4.55021371,3.150692,-0.540194,0.77854,9.78267,-0.330471212,0.996372281,9.75047946
0.2,5.54782186,1.73386656,3.09250348,5.27350229,5.28231473,-0.944041,0.938468,10.1675,-0.447472424,0.985330553,9.83000083
0.205,5.56271808,1.81887141,3.19242165,5.02243265,3.91913159,-0.707609,0.904239,10.2891,-0.497077694,0.969867259,9.91754614
