t,roll,pitch,yaw
0.635,4.61272282,6.79728486,11.4299924
0.64,4.5956716,6.84335067,11.5200041
0.645,4.57850578,6.88924459,11.6100158
0.65,4.56122537,6.93490932,11.6999702
0.655,4.54383037,6.98045947,11.7899818
0.66,4.52632651,7.02578043,11.8799935
0.665,4.50870233,7.0709868,11.9700052
0.67,4.49096929,7.11596399,12.0600168
0.675,4.47312165,7.16076929,12.1499712
0.68,4.45516515,7.20546,12.2399829
0.685,4.43709407,7.24992152,12.3299946
0.69,4.41891411,7.29415386,12.4200062
0.695,4.4006253,7.33827162,12.5100179
0.7,4.38222763,7.38216018,12.5999723
0.705,4.36371536,7.42593416,12.6899839
0.71,4.34509423,7.46947895,12.7799956
0.714999,4.32636997,7.51279456,12.8700073
0.719999,4.30753112,7.55599558,12.960019
0.724999,4.28858913,7.59896741,13.0499733
0.729999,4.26953829,7.64176736,13.139985
0.734999,4.25037858,7.68433813,13.2299967
0.739999,4.23111574,7.7267943,13.3200083
0.744999,4.21174403,7.76896399,13.4099627
0.749999,4.1922692,7.8110191,13.4999744
0.754999,4.17269123,7.85284502,13.5899861
0.759999,4.1530044,7.89444175,13.6799977
0.764999,4.13322017,7.9358666,13.7700094
0.769999,4.11332707,7.97711956,13.8599638
0.774999,4.09333084,8.01814334,13.9499754
0.779999,4.07323721,8.05899523,14.0399871
0.784999,4.05304045,8.09961794,14.1299988
0.789999,4.03274056,8.14006876,14.2200105
0.794999,4.01233753,8.1802904,14.3099648
0.799999,3.9918371,8.22028285,14.3999765
0.804999,3.97123927,8.26010342,14.4899882
0.809999,3.9505383,8.2996948,14.5799998
0.814999,3.92973993,8.3391143,14.6700115
0.819999,3.90884416,8.37830461,14.7599659
0.824999,3.88784526,8.41726574,14.8499776
0.829999,3.86675468,8.45605499,14.9399892
0.834999,3.8455667,8.49461505,15.0300009
0.839999,3.82428132,8.53300322,15.1200126
0.844999,3.80290427,8.57110491,15.2099669
0.849999,3.78142981,8.60903472,15.2999786
0.854999,3.75985795,8.64673534,15.3899903
0.859999,3.73819441,8.68420678,15.480002
0.864999,3.7164392,8.72150634,15.5700136
0.869999,3.69458659,8.75857671,15.659968
0.874999,3.67264231,8.79541789,15.7499797
0.879999,3.65061208,8.8320299,15.8399913
0.884999,3.62848445,8.86841272,15.930003
0.889999,3.60627088,8.90456635,16.0200147
0.894999,3.5839599,8.9405481,16.1099691
0.899999,3.56156871,8.97624337,16.1999807
0.904999,3.53908012,9.01176676,16.2899924
0.909999,3.51650558,9.04706096,16.3800041
0.914999,3.4938451,9.08206868,16.4700157
0.919999,3.47109867,9.11690451,16.5599701
0.924999,3.44826058,9.15151116,16.6499818
0.929999,3.42534226,9.18588863,16.7399935
0.934999,3.40233228,9.22003692,16.8300051
0.939999,3.37924208,9.25395602,16.9199595
0.944999,3.35606021,9.28758864,17.0099712
0.949999,3.33280385,9.32104938,17.0999828
0.954999,3.30945582,9.35428093,17.1899945
0.959999,3.2860333,9.387226,17.2800062
0.964999,3.26251912,9.41999919,17.3699606
0.969999,3.23893044,9.4524859,17.4599722
0.974999,3.21526156,9.48474342,17.5499839
0.979999,3.19150673,9.51677176,17.6399956
0.984999,3.16767741,9.54857092,17.7300072
0.989999,3.14376788,9.58014089,17.8199616
0.994999,3.11977814,9.61148169,17.9099733
0.999999,3.09570818,9.642536,17.9999849
1.005,3.07156374,9.67336113,18.0899966
1.01,3.04733908,9.70395708,18.1800083
1.015,3.02304567,9.73432384,18.2699627
1.02,2.99867205,9.76446142,18.3599743
1.025,2.97422394,9.79431252,18.449986
1.03,2.94969562,9.82393444,18.5399977
1.035,2.92510427,9.85326988,18.6300093
1.04,2.9004327,9.88243343,18.7199637
1.045,2.87569239,9.9113105,18.8099754
1.05,2.85087758,9.93995839,18.8999871
1.055,2.8259883,9.9683198,18.9899987
1.06,2.80103599,9.99645203,19.0800104
1.065,2.77600919,10.0243551,19.1699648
1.07,2.75091364,10.0519716,19.2599764
1.075,2.72574933,10.079359,19.3499881
1.08,2.70051627,10.1064599,19.4399998
1.085,2.67521445,10.1333889,19.5300115
1.09,2.64984961,10.1599742,19.6199658
1.095,2.62441601,10.1863875,19.7099775
1.1,2.59891939,10.2124571,19.7999892
1.105,2.57335402,10.2383548,19.8900008
1.11,2.54772561,10.263966,19.9800125
1.115,2.52203418,10.2892908,20.0699669
1.12,2.49627973,10.3143863,20.1599786
1.125,2.47046225,10.3391954,20.2499902
1.13,2.44458748,10.3637753,20.3400019
1.135,2.41864395,10.388126,20.4300136
1.14,2.39264312,10.4121902,20.5199679
1.145,2.366585,10.435968,20.6099796
1.15,2.34046386,10.4595165,20.6999913
1.155,2.31428542,10.4827786,20.790003
1.16,2.28804968,10.5058115,20.8799573
1.165,2.26175665,10.5285579,20.969969
1.17,2.23540632,10.5510179,21.0599807
1.175,2.20900442,10.5732486,21.1499923
1.18,2.18254523,10.5951929,21.240004
1.185,2.15602874,10.616908,21.3299584
1.19,2.12946069,10.6383367,21.4199701
1.195,2.10283534,10.6594788,21.5099817
1.2,2.07616415,10.6803918,21.5999934
1.205,2.04943567,10.7010182,21.6900051
1.21,2.02265563,10.7213582,21.7799594
1.215,1.99582974,10.7414691,21.8699711
1.22,1.96895229,10.7612934,21.9599828
1.225,1.94202327,10.7808313,22.0499945
1.23,1.91504842,10.8001399,22.1400061
1.235,1.888022,10.8191621,22.2299605
1.24,1.86094975,10.8378979,22.3199722
1.245,1.83383165,10.8563471,22.4099838
1.25,1.80666772,10.8745672,22.4999955
1.255,1.77945796,10.8925007,22.5900072
1.26,1.75220808,10.9101478,22.6799616
1.265,1.72491238,10.9275085,22.7699732
1.27,1.69757083,10.9446399,22.8599849
1.275,1.67018918,10.9614849,22.9499966
1.28,1.64276169,10.9780433,23.0400082
1.285,1.61529982,10.9943153,23.1299626
1.29,1.58779211,11.0103582,23.2199743
1.295,1.5602443,11.0261145,23.309986
1.3,1.53266211,11.0415844,23.3999976
1.305,1.50503982,11.0567677,23.4900093
1.31,1.47737742,11.0716646,23.5799637
1.315,1.44968064,11.0862751,23.6699753
1.32,1.42194375,11.1006563,23.759987
1.325,1.39417821,11.1147511,23.8499987
1.33,1.36637257,11.1285593,23.9400103
1.335,1.33853255,11.1420812,24.0299647
1.34,1.31066389,11.1553165,24.1199764
1.345,1.28276084,11.1682653,24.2099881
1.35,1.25482342,11.180985,24.2999997
1.355,1.22685162,11.1933609,24.3899541
1.36,1.1988569,11.2055076,24.4799658
1.365,1.17082781,11.2173678,24.5699775
1.37,1.14277006,11.2289416,24.6599891
1.375,1.11468367,11.2402288,24.7500008
1.38,1.08656863,11.2512296,24.8399552
1.385,1.05842494,11.2619439,24.9299668
1.39,1.03025834,11.2723718,25.0199785
1.395,1.00206309,11.2825131,25.1099902
1.4,0.973844914,11.2924253,25.2000018
1.405,0.945603824,11.3019937,25.2899562
1.41,0.917334086,11.3113329,25.3799679
1.415,0.889047159,11.3203856,25.4699796
1.42,0.860737314,11.3290946,25.5599912
1.425,0.832398821,11.3375744,25.6500029
1.43,0.804048869,11.3457677,25.7399573
1.435,0.77567027,11.3536745,25.8299689
1.44,0.747280211,11.3612948,25.9199806
1.445,0.718867233,11.3686287,26.0099923
1.45,0.690437067,11.375676,26.100004
1.455,0.661989713,11.382437,26.1899583
1.46,0.633525169,11.3889114,26.27997
1.465,0.605043437,11.3950993,26.3699817
1.47,0.576550245,11.4010008,26.4599933
1.475,0.548039865,11.4066158,26.550005
1.48,0.51951688,11.4119443,26.6399594
1.485,0.490980717,11.4169863,26.7299711
1.49,0.462431949,11.4217992,26.8199827
1.495,0.433872294,11.4262682,26.9099944
1.5,0.40530118,11.4304508,27.0000061
1.505,0.376720326,11.4343469,27.0899604
1.51,0.348129732,11.4379566,27.1799721
1.515,0.319530544,11.441337,27.2699838
1.52,0.290923334,11.4443737,27.3599955
1.525,0.262308675,11.4471239,27.4500071
1.53,0.233687714,11.4496449,27.5399615
1.535,0.205061024,11.4518221,27.6299732
1.54,0.176429176,11.4537129,27.7199848
1.545,0.147792746,11.4553172,27.8099965
1.55,0.119152877,11.4566923,27.8999509
1.555,0.0905095707,11.4577236,27.9899626
1.56,0.0618645455,11.4584685,28.0799742
1.565,0.0332175149,11.4589841,28.1699859
1.57,0.0045698312,11.459156,28.2599976
1.575,-0.0240779786,11.4590414,28.3499519
1.58,-0.0527251237,11.4586976,28.4399636
1.585,-0.0813708938,11.4580101,28.5299753
1.59,-0.110014773,11.4570361,28.619987
1.595,-0.138655788,11.4557755,28.7099986
1.6,-0.167293364,11.4542859,28.799953
1.605,-0.19592693,11.4524524,28.8899647
1.61,-0.22455534,11.4503324,28.9799763
