t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
144.438196,-0.0638963496,-0.271187782,0.000763710217,-0.27161767,2.17721049,-0.380964692,-0.0472395331,9.41243441,0.326756614,-0.100046077,9.87071954
144.441005,-0.0778420576,-0.314391345,0.00125215486,-0.334021532,-0.276607865,0.035766203,-0.0588953205,9.61047341,0.292738863,-0.0952354162,9.8402959
144.445615,-0.0930801386,-0.382388172,0.00208708455,0.923472586,-2.60613723,0.451031046,0.162574272,9.89226431,0.320989282,-0.0492241002,9.84957071
144.448983,-0.0960092794,-0.432087227,0.00264327876,1.03251297,-1.79628368,0.312999379,0.185266617,10.1154906,0.319895045,-0.0171100079,9.8859891
144.453048,-0.0953557315,-0.482939228,0.0032082329,0.0469156743,0.398776747,-0.0702464164,0.00849732765,8.52987202,0.257170671,-0.0129930292,9.66796153
144.458019,-0.0916074683,-0.534969647,0.00367127794,0.500804808,-1.66510788,0.257313957,0.0809863949,8.89956646,0.257197867,0.00484465924,9.52211693
144.461012,-0.088582592,-0.563898618,0.00379943922,-0.281722524,-0.875280505,0.143910144,-0.0524546181,9.9784258,0.243196872,-0.00223684007,9.5785112
144.465451,-0.0846939471,-0.588468152,0.00383177176,0.141108958,2.50037936,-0.427465876,0.0225127358,9.23268727,0.127171774,0.00204485288,9.51868343
144.469014,-0.0844881174,-0.589952654,0.0038248966,-1.06761808,0.953087349,-0.195493219,-0.205638792,10.541356,0.0807839051,-0.0278127452,9.66570775
144.47301,-0.0856392707,-0.58698755,0.00385203327,0.50798259,-0.8773444,0.141641347,0.0876736823,9.77931394,0.0904281831,-0.00951123317,9.6837113
144.477826,-0.0871715026,-0.578241575,0.00399664125,-0.713144148,0.889995119,-0.161160275,-0.120666513,9.34764667,0.0438919623,-0.0300715827,9.62154955
144.481055,-0.0896135093,-0.568798131,0.00421201547,-0.00469522084,-0.610355619,0.10182767,-0.0047561901,10.7064559,0.051543396,-0.0267282379,9.7648306
144.485297,-0.0922367111,-0.567604389,0.00459445711,-0.179139509,-2.9797366,0.541909239,-0.0358025266,10.3777169,0.133228956,-0.0282398406,9.86692573
144.488999,-0.0937449398,-0.575654218,0.00492370562,0.137644193,-0.973610558,0.159588047,0.0226712691,9.84450034,0.137144914,-0.0206763878,9.86359417
