t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0.165 0.878561 0.469828 0.084461 -0.0160766 0 0 0 -0.215622 0.802688 -0.651745 -1.60408 8.07196 5.33915 0.986418 0.164252 0.0518363 
0.17 0.878619 0.469241 0.0869972 -0.0165178 0 0 0 -0.222079 0.802556 -0.650522 -1.65177 8.06082 5.34144 0.985585 0.169182 0.0534071 
0.175 0.878679 0.468636 0.0895313 -0.0169548 0 0 0 -0.22853 0.802419 -0.649265 -1.69938 8.04935 5.34379 0.984727 0.174108 0.0549779 
0.18 0.878741 0.468014 0.0920632 -0.0173877 0 0 0 -0.234973 0.802277 -0.647971 -1.74691 8.03757 5.3462 0.983844 0.17903 0.0565487 
0.185 0.878803 0.467375 0.0945929 -0.0178162 0 0 0 -0.24141 0.802129 -0.646642 -1.79436 8.02547 5.34866 0.982936 0.183947 0.0581195 
0.19 0.878868 0.466719 0.0971204 -0.0182404 0 0 0 -0.247839 0.801976 -0.645278 -1.84171 8.01306 5.35118 0.982004 0.188859 0.0596903 
0.195 0.878933 0.466046 0.0996455 -0.0186599 0 0 0 -0.25426 0.801817 -0.643879 -1.88898 8.00033 5.35375 0.981048 0.193766 0.061261 
0.2 0.879001 0.465356 0.102168 -0.0190749 0 0 0 -0.260673 0.801653 -0.642444 -1.93615 7.98728 5.35638 0.980067 0.198669 0.0628318 
0.205 0.879069 0.464648 0.104688 -0.019485 0 0 0 -0.267079 0.801482 -0.640975 -1.98323 7.97392 5.35905 0.979061 0.203567 0.0644026 
0.21 0.879139 0.463924 0.107206 -0.0198903 0 0 0 -0.273476 0.801306 -0.63947 -2.03021 7.96026 5.36178 0.978031 0.20846 0.0659734 
0.215 0.87921 0.463183 0.109721 -0.0202906 0 0 0 -0.279865 0.801123 -0.637931 -2.0771 7.94628 5.36455 0.976976 0.213347 0.0675442 
0.22 0.879283 0.462425 0.112234 -0.0206858 0 0 0 -0.286246 0.800935 -0.636356 -2.12388 7.93199 5.36737 0.975897 0.21823 0.069115 
0.225 0.879357 0.46165 0.114743 -0.0210757 0 0 0 -0.292617 0.800739 -0.634747 -2.17056 7.9174 5.37025 0.974794 0.223106 0.0706858 
0.23 0.879432 0.460859 0.11725 -0.0214604 0 0 0 -0.29898 0.800538 -0.633104 -2.21714 7.9025 5.37316 0.973666 0.227977 0.0722566 
0.235 0.879509 0.460051 0.119754 -0.0218396 0 0 0 -0.305333 0.800329 -0.631426 -2.2636 7.8873 5.37612 0.972514 0.232843 0.0738274 
0.24 0.879586 0.459226 0.122256 -0.0222133 0 0 0 -0.311678 0.800114 -0.629714 -2.30996 7.87179 5.37913 0.971338 0.237703 0.0753982 
0.245 0.879665 0.458384 0.124754 -0.0225813 0 0 0 -0.318013 0.799892 -0.627967 -2.35621 7.85599 5.38217 0.970137 0.242556 0.076969 
0.25 0.879745 0.457525 0.127249 -0.0229436 0 0 0 -0.324338 0.799662 -0.626186 -2.40235 7.83988 5.38526 0.968912 0.247404 0.0785398 
0.255 0.879827 0.45665 0.129741 -0.0233 0 0 0 -0.330653 0.799425 -0.624371 -2.44837 7.82348 5.38839 0.967663 0.252245 0.0801106 
0.26 0.879909 0.455759 0.13223 -0.0236505 0 0 0 -0.336958 0.799181 -0.622523 -2.49427 7.80678 5.39156 0.96639 0.25708 0.0816814 
0.265 0.879992 0.454851 0.134715 -0.0239949 0 0 0 -0.343253 0.79893 -0.62064 -2.54006 7.78979 5.39476 0.965093 0.261909 0.0832522 
0.27 0.880077 0.453926 0.137198 -0.0243331 0 0 0 -0.349537 0.79867 -0.618724 -2.58572 7.7725 5.398 0.963771 0.266731 0.084823 
0.275 0.880163 0.452986 0.139677 -0.024665 0 0 0 -0.355811 0.798403 -0.616774 -2.63126 7.75492 5.40128 0.962425 0.271547 0.0863938 
0.28 0.880249 0.452028 0.142152 -0.0249905 0 0 0 -0.362074 0.798128 -0.614791 -2.67667 7.73705 5.40459 0.961055 0.276356 0.0879646 
0.285 0.880337 0.451055 0.144624 -0.0253096 0 0 0 -0.368326 0.797844 -0.612775 -2.72196 7.7189 5.40793 0.959662 0.281157 0.0895354 
0.29 0.880425 0.450065 0.147092 -0.025622 0 0 0 -0.374567 0.797552 -0.610725 -2.76712 7.70045 5.4113 0.958244 0.285952 0.0911061 
0.295 0.880515 0.449059 0.149557 -0.0259278 0 0 0 -0.380797 0.797251 -0.608643 -2.81214 7.68173 5.4147 0.956802 0.29074 0.0926769 
0.3 0.880605 0.448037 0.152018 -0.0262268 0 0 0 -0.387015 0.796942 -0.606528 -2.85704 7.66272 5.41813 0.955337 0.29552 0.0942477 
0.305 0.880697 0.446998 0.154476 -0.0265188 0 0 0 -0.393221 0.796624 -0.60438 -2.9018 7.64343 5.42159 0.953847 0.300293 0.0958185 
0.31 0.880789 0.445944 0.156929 -0.0268039 0 0 0 -0.399416 0.796297 -0.602199 -2.94642 7.62386 5.42507 0.952334 0.305058 0.0973893 
0.315 0.880882 0.444874 0.159379 -0.0270819 0 0 0 -0.405598 0.79596 -0.599986 -2.99091 7.60402 5.42858 0.950796 0.309816 0.0989601 
0.32 0.880975 0.443787 0.161824 -0.0273528 0 0 0 -0.411769 0.795614 -0.597741 -3.03526 7.5839 5.43211 0.949235 0.314566 0.100531 
0.325 0.88107 0.442685 0.164266 -0.0276163 0 0 0 -0.417926 0.795259 -0.595463 -3.07946 7.56351 5.43566 0.947651 0.319309 0.102102 
0.33 0.881165 0.441567 0.166703 -0.0278724 0 0 0 -0.424072 0.794893 -0.593154 -3.12352 7.54285 5.43923 0.946042 0.324043 0.103673 
0.335 0.881261 0.440433 0.169137 -0.0281211 0 0 0 -0.430204 0.794518 -0.590813 -3.16744 7.52192 5.44281 0.94441 0.328769 0.105243 
0.34 0.881357 0.439283 0.171566 -0.0283622 0 0 0 -0.436324 0.794132 -0.58844 -3.2112 7.50072 5.44642 0.942755 0.333487 0.106814 
0.345 0.881455 0.438118 0.173991 -0.0285957 0 0 0 -0.44243 0.793736 -0.586035 -3.25482 7.47926 5.45004 0.941076 0.338197 0.108385 
0.35 0.881552 0.436937 0.176411 -0.0288214 0 0 0 -0.448523 0.793329 -0.5836 -3.29829 7.45753 5.45367 0.939373 0.342898 0.109956 
0.355 0.881651 0.435741 0.178827 -0.0290392 0 0 0 -0.454603 0.792912 -0.581133 -3.34161 7.43555 5.45732 0.937647 0.34759 0.111526 
