t qw qx qy qz px py pz wx wy wz ax ay az roll pitch yaw 
0.17 0.998309 0.0487835 0.0182059 0.0258311 19.9786 6.06763 5.50904 -0.314088 0.12095 0.221583 -1.91221 0.565996 4.75046 0.0985585 0.0338365 0.0534071 
0.175 0.998283 0.0487124 0.0187348 0.0265915 19.9773 6.099 5.5225 -0.0893075 0.0594093 0.315016 -1.36 0.436121 4.72891 0.0984727 0.0348216 0.0549779 
0.18 0.998256 0.0486393 0.0192631 0.0273519 19.976 6.13037 5.53583 0.0478609 0.377093 0.130944 -1.58887 0.268149 3.97163 0.0983844 0.0358059 0.0565487 
0.185 0.998228 0.0485642 0.0197908 0.0281124 19.9747 6.16173 5.54902 0.213816 0.267459 0.557683 -2.13559 0.489104 4.24524 0.0982936 0.0367893 0.0581195 
0.19 0.9982 0.048487 0.0203179 0.028873 19.9733 6.1931 5.56208 0.148545 0.284098 0.342076 -1.27101 1.16769 4.18707 0.0982004 0.0377718 0.0596903 
0.195 0.99817 0.0484078 0.0208444 0.0296336 19.9719 6.22445 5.57501 -0.418872 0.594237 0.417647 -2.08759 0.346905 4.24177 0.0981048 0.0387533 0.061261 
0.2 0.99814 0.0483266 0.0213703 0.0303942 19.9704 6.25581 5.58779 -0.150431 0.59068 0.436799 -1.41802 0.0225971 4.15003 0.0980067 0.0397339 0.0628318 
0.205 0.998109 0.0482434 0.0218955 0.031155 19.9689 6.28716 5.60042 0.000768996 0.00252818 0.769289 -1.69667 -0.00280889 4.08897 0.0979061 0.0407134 0.0644026 
0.21 0.998078 0.0481582 0.02242 0.0319158 19.9674 6.31851 5.61291 -0.0125836 0.372607 0.544495 -1.78031 0.071093 3.93393 0.0978031 0.041692 0.0659734 
0.215 0.998046 0.048071 0.0229439 0.0326767 19.9658 6.34986 5.62524 -0.0296519 0.318949 0.594285 -2.01869 0.5807 3.64365 0.0976976 0.0426695 0.0675442 
0.22 0.998013 0.0479817 0.0234671 0.0334376 19.9642 6.3812 5.63742 0.1283 0.285743 0.22523 -2.01555 0.387104 3.95306 0.0975897 0.0436459 0.069115 
