time_s,dpx,dpy,px,py,theta
148.295,1.58561e-06,-1.36583e-06,4.64353e-05,-8.96445e-09,0.000459756
148.299,1.3474e-06,-1.16063e-06,4.77827e-05,-9.49805e-09,0.000473096
148.303,1.56867e-06,-1.35123e-06,4.93514e-05,-1.01373e-08,0.000488628
148.308,1.02992e-06,-8.8716e-07,5.03813e-05,-1.05708e-08,0.000498825
148.311,4.7088e-07,-4.0561e-07,5.08522e-05,-1.07731e-08,0.000503487
148.315,9.99266e-07,-8.60754e-07,5.18514e-05,-1.12065e-08,0.000513381
148.319,8.33746e-07,-7.18177e-07,5.26852e-05,-1.15752e-08,0.000521636
148.323,9.37345e-07,-8.07416e-07,5.36225e-05,-1.19964e-08,0.000530916
148.328,1.34383e-06,-1.15756e-06,5.49664e-05,-1.2611e-08,0.000544221
148.331,8.85706e-07,-7.62935e-07,5.58521e-05,-1.30262e-08,0.000552991
148.339,2.29804e-06,-1.9795e-06,5.81501e-05,-1.41208e-08,0.000575744
148.344,1.13146e-06,-9.74628e-07,5.92816e-05,-1.46819e-08,0.000586946
148.345,2.25564e-07,-1.94298e-07,5.95071e-05,-1.4796e-08,0.00058918
148.349,2.42521e-07,-2.08904e-07,5.97497e-05,-1.49191e-08,0.000591581
148.351,9.84464e-08,-8.48003e-08,5.98481e-05,-1.49692e-08,0.000592556
148.356,2.7446e-07,-2.36416e-07,6.01226e-05,-1.51093e-08,0.000595273
148.36,7.93331e-07,-6.83364e-07,6.09159e-05,-1.55161e-08,0.000603128
148.363,5.76172e-07,-4.96307e-07,6.14921e-05,-1.58154e-08,0.000608832
148.367,2.17806e-06,-1.87615e-06,6.36701e-05,-1.69577e-08,0.000630397
148.371,1.48942e-06,-1.28297e-06,6.51595e-05,-1.77665e-08,0.000645144
148.375,1.87581e-06,-1.6158e-06,6.70353e-05,-1.88089e-08,0.000663716
148.38,2.04395e-06,-1.76063e-06,6.90793e-05,-1.99775e-08,0.000683953
148.383,1.14871e-06,-9.89482e-07,7.0228e-05,-2.06542e-08,0.000695327
148.387,1.27813e-06,-1.10097e-06,7.15061e-05,-2.14198e-08,0.000707982
148.392,1.28115e-06,-1.10356e-06,7.27873e-05,-2.22011e-08,0.000720666
148.395,8.34678e-07,-7.1898e-07,7.3622e-05,-2.27192e-08,0.00072893
148.4,1.16228e-06,-1.00117e-06,7.47842e-05,-2.3449e-08,0.000740438
148.403,7.62127e-07,-6.56486e-07,7.55464e-05,-2.39351e-08,0.000747984
148.408,1.18467e-06,-1.02046e-06,7.6731e-05,-2.46984e-08,0.000759713
148.411,5.56361e-07,-4.79242e-07,7.72874e-05,-2.50624e-08,0.000765222
148.415,8.45076e-07,-7.27937e-07,7.81325e-05,-2.56195e-08,0.000773589
148.419,1.33097e-06,-1.14648e-06,7.94635e-05,-2.65064e-08,0.000786767
148.423,9.60432e-07,-8.27303e-07,8.04239e-05,-2.71573e-08,0.000796276
148.427,6.6648e-07,-5.74097e-07,8.10904e-05,-2.76144e-08,0.000802875
148.432,7.9153e-07,-6.81813e-07,8.18819e-05,-2.81618e-08,0.000810712
148.435,4.64426e-07,-4.0005e-07,8.23463e-05,-2.84862e-08,0.00081531
148.44,1.15047e-06,-9.90995e-07,8.34968e-05,-2.92941e-08,0.000826701
148.444,1.03485e-06,-8.91403e-07,8.45316e-05,-3.0031e-08,0.000836947
148.447,6.24095e-07,-5.37587e-07,8.51557e-05,-3.0481e-08,0.000843126
148.452,9.92911e-07,-8.5528e-07,8.61486e-05,-3.12021e-08,0.000852957
148.455,6.20344e-07,-5.34355e-07,8.6769e-05,-3.16579e-08,0.000859099
148.459,8.32172e-07,-7.16822e-07,8.76012e-05,-3.22737e-08,0.000867338
148.463,6.68658e-07,-5.75973e-07,8.82698e-05,-3.27733e-08,0.000873959
148.467,4.68358e-07,-4.03437e-07,8.87382e-05,-3.31258e-08,0.000878596
148.472,6.00677e-07,-5.17415e-07,8.93388e-05,-3.35804e-08,0.000884543
148.475,4.15138e-07,-3.57594e-07,8.9754e-05,-3.38967e-08,0.000888653
148.479,7.97923e-07,-6.87319e-07,9.05519e-05,-3.45075e-08,0.000896554
148.483,7.29238e-07,-6.28156e-07,9.12811e-05,-3.50707e-08,0.000903774
148.487,9.15827e-07,-7.88881e-07,9.2197e-05,-3.57837e-08,0.000912841
148.492,1.10204e-06,-9.49285e-07,9.3299e-05,-3.66502e-08,0.000923753
148.495,7.24205e-07,-6.2382e-07,9.40232e-05,-3.72265e-08,0.000930923
148.499,-9.16367e-07,7.89346e-07,9.31069e-05,-3.64917e-08,0.00092185
148.503,-8.17562e-07,7.04237e-07,9.22893e-05,-3.58425e-08,0.000913755
148.507,5.42483e-07,-4.67288e-07,9.28318e-05,-3.62694e-08,0.000919127
148.512,6.36003e-07,-5.47844e-07,9.34678e-05,-3.6773e-08,0.000925424
148.515,4.27677e-07,-3.68395e-07,9.38955e-05,-3.71139e-08,0.000929658
148.519,1.95763e-06,-1.68627e-06,9.58531e-05,-3.86816e-08,0.000949041
148.524,2.45377e-06,-2.11364e-06,9.83068e-05,-4.06875e-08,0.000973335
148.527,-7.14406e-08,6.15379e-08,9.82354e-05,-4.06276e-08,0.000972628
148.531,-1.2294e-07,1.05899e-07,9.81125e-05,-4.05246e-08,0.000971411
148.535,-9.17317e-08,7.90164e-08,9.80207e-05,-4.04478e-08,0.000970502
148.539,5.68639e-07,-4.89818e-07,9.85894e-05,-4.09232e-08,0.000976133
148.544,6.76553e-07,-5.82773e-07,9.92659e-05,-4.14921e-08,0.000982831
148.547,7.93667e-07,-6.83654e-07,0.00010006,-4.2164e-08,0.000990689
148.551,1.23695e-06,-1.06549e-06,0.000101297,-4.32196e-08,0.00100294
148.555,1.05649e-06,-9.10044e-07,0.000102353,-4.41323e-08,0.0010134
148.559,1.08046e-06,-9.30689e-07,0.000103433,-4.50754e-08,0.00102409
148.565,1.59358e-06,-1.37268e-06,0.000105027,-4.64812e-08,0.00103987
148.567,3.06485e-07,-2.64002e-07,0.000105334,-4.67557e-08,0.00104291
148.571,6.98219e-07,-6.01437e-07,0.000106032,-4.7383e-08,0.00104982
148.575,5.97193e-07,-5.14413e-07,0.000106629,-4.7923e-08,0.00105573
148.579,5.63056e-08,-4.85009e-08,0.000106685,-4.79742e-08,0.00105629
