t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
148.039406,0.56747165,0.847960695,0.000296916153,0.371769402,1.55042009,-0.275502624,0.0618398921,9.43986533,-0.115235472,0.0558617236,9.24624518
148.042746,0.560666006,0.846334407,0.000474453135,0.580906352,2.06052235,-0.375010506,0.0996614234,9.75895021,-0.150559384,0.0618175566,9.31596223
148.046796,0.552025297,0.856262333,0.000607007734,-0.00518279329,2.8636977,-0.511929165,-0.00302017836,9.67777292,-0.208478025,0.0514256708,9.37395153
148.051806,0.542309258,0.875503349,0.000657097555,0.748550677,0.800100087,-0.152702156,0.128882662,9.71767882,-0.197824774,0.0662200389,9.43960381
148.056144,0.537701505,0.890353083,0.000662766741,0.794760606,1.135949,-0.204102276,0.133207283,9.39822773,-0.198890156,0.077588735,9.4325817
148.059254,0.534852589,0.899223893,0.000659102877,0.0950758795,0.380297759,-0.0821757599,0.0146843985,10.0324456,-0.183971676,0.0695482777,9.50925654
148.062713,0.532504054,0.90069495,0.000698070032,1.0032903,-1.4687068,0.246239359,0.175139267,9.80311106,-0.123676454,0.0843471358,9.55044103
148.066735,0.532981108,0.891322983,0.000804101213,0.883321246,-0.498529354,0.0718630916,0.146551287,9.2479673,-0.0925223011,0.0942577534,9.50224969
148.071662,0.532442518,0.87296345,0.000899752432,-0.00514879402,-0.118422094,0.0081743833,-0.00250561737,9.74468727,-0.0735481012,0.0760247047,9.54793202
148.076308,0.530974867,0.857588086,0.000961711235,0.800052289,1.21024936,-0.222975559,0.137053922,9.65487179,-0.100389946,0.0869874607,9.56714175
148.07913,0.530805886,0.85188385,0.000988005425,0.379912687,1.00614442,-0.189827911,0.064733877,9.77285719,-0.11088592,0.0843758958,9.59128344
148.082808,0.529391511,0.851431158,0.000953306191,0.207198374,2.5054966,-0.449665415,0.033984273,9.68342508,-0.160938112,0.0769309021,9.60489669
148.086867,0.527361065,0.859175864,0.000907231366,0.588286598,1.48105662,-0.261790393,0.0980591189,9.37291759,-0.177128588,0.0803227529,9.56765557
148.091677,0.5233846,0.873382559,0.000896206851,-0.00537131151,1.59486747,-0.279598297,-0.00186215229,9.33147222,-0.196064661,0.0651352465,9.52400965
148.094752,0.51966891,0.883059218,0.000903747125,0.445163975,0.657593108,-0.130689161,0.0770569534,9.92154284,-0.187790113,0.0666441716,9.57432525
148.099021,0.517722151,0.886213613,0.0010018041,1.16881996,-1.30938568,0.214282003,0.200792922,9.61256728,-0.120457903,0.0891091262,9.58072937
148.10281,0.519998853,0.880355527,0.00118515321,0.973848375,0.371222996,-0.0738032678,0.162410504,9.31552691,-0.113388817,0.100215712,9.54054604
148.108201,0.52124745,0.870124795,0.00138772668,-0.0956079617,0.38242599,-0.0766683454,-0.0171786004,9.43939531,-0.10595044,0.0764354309,9.52005618
148.111448,0.52163901,0.866700903,0.00145969571,1.3339291,1.89499733,-0.338381447,0.227258581,9.54740699,-0.136800784,0.0964540422,9.52368642
148.114759,0.52244728,0.868703341,0.00150991414,-0.109213935,1.6897246,-0.305844687,-0.0206865583,9.6443845,-0.159612281,0.0806465953,9.53997393
148.118943,0.520859637,0.8766468,0.00149762166,0.366873348,1.5105785,-0.297496962,0.0648312307,10.4066528,-0.18232208,0.0780417827,9.68271714
148.124098,0.520925114,0.889066016,0.00146722798,1.00630655,0.925887926,-0.167909382,0.168473167,9.3644406,-0.179505094,0.0957167496,9.62050946
148.126802,0.520605852,0.895546597,0.00145399626,-0.577761896,1.21892602,-0.219346455,-0.0993941904,9.45842375,-0.184007961,0.0736653302,9.60219054
148.131399,0.516643579,0.899608859,0.00146026591,0.319412025,-0.733032983,0.114308498,0.0538983691,9.57879905,-0.130887041,0.0701454468,9.59802524
148.13514,0.513768489,0.888595198,0.00153699919,0.602446345,-2.09227669,0.357354191,0.104947389,9.83011583,-0.0577215056,0.0753607021,9.63280525
148.138979,0.511304412,0.86781607,0.00162786551,0.368773838,-0.19736977,0.02191058,0.0625909157,9.65813425,-0.0455231274,0.0734045725,9.63668525
148.143838,0.506175901,0.84219637,0.00165291403,0.0404024825,0.540367137,-0.109872414,0.00497025026,9.93842294,-0.0575128302,0.0606537367,9.69290569
148.146722,0.503514088,0.830598022,0.00164000316,1.13757871,1.32330899,-0.236798056,0.191643718,9.43046891,-0.0789641422,0.0763265673,9.66150537
148.151152,0.49664974,0.823344118,0.00152524735,-0.759406264,2.06603676,-0.38442419,-0.138732866,9.97924803,-0.13171352,0.0391883185,9.71637581
148.155913,0.486949442,0.826765654,0.00130572304,0.818883398,1.35784757,-0.259461483,0.1450313,10.0536811,-0.155123027,0.0585837904,9.77818619
148.158751,0.484414985,0.831123608,0.00121043019,1.17962194,1.07456473,-0.197483978,0.201273655,9.56477564,-0.160121242,0.0754199222,9.75300565
148.163643,0.481743433,0.837098338,0.00109834174,0.259984512,0.405567673,-0.08281546,0.0435624976,9.64702777,-0.145639292,0.0694519647,9.73315246
148.166783,0.481737115,0.837680374,0.00108359461,1.43440879,-0.046266408,-0.00483875221,0.249697945,9.75779263,-0.127490879,0.0926846773,9.73632844
148.171124,0.487714392,0.833177695,0.00121564901,1.34659977,-0.120416358,0.00883286623,0.221480037,9.15225523,-0.104340716,0.114556388,9.63714257
148.175948,0.496877574,0.824272602,0.00147209267,0.540609217,0.356897144,-0.0735568338,0.0915493977,9.55505202,-0.0986385547,0.110294757,9.62193677
148.178725,0.500570353,0.817865325,0.00160321522,0.0406569242,-0.14229893,0.0122728256,0.00528560366,9.87530204,-0.0858067852,0.0981458387,9.65124958
148.183456,0.509028782,0.818623009,0.00180241989,1.49460709,3.35732589,-0.591386781,0.254824637,9.56010236,-0.177973272,0.126708152,9.63463358
148.186706,0.514295777,0.828337222,0.00191616051,-0.555481848,1.00173341,-0.196124425,-0.103706317,10.1230262,-0.180384367,0.0961012171,9.69950885
148.1917,0.517767285,0.848871658,0.00204608573,0.646165612,2.10161478,-0.383230897,0.111302833,9.78310225,-0.219028826,0.0989972895,9.7154343
148.195966,0.517011032,0.87380871,0.00211435829,-0.529793352,2.15635649,-0.367516334,-0.0880719542,9.17267552,-0.24388211,0.0676863395,9.62458936
148.198807,0.512640297,0.890938174,0.00210241127,-0.348788828,0.770407712,-0.145874034,-0.061895766,9.63494287,-0.232311481,0.0523881471,9.62581168
148.203385,0.502128116,0.905416103,0.0020299457,-0.0622160067,-1.26485304,0.208034023,-0.0119859419,9.67641803,-0.154169212,0.0409645324,9.63479212
148.208608,0.490308836,0.900874929,0.00191099806,0.498588602,-0.726157091,0.109885262,0.0826369426,9.24792765,-0.102012853,0.0491957174,9.55837818
148.210904,0.486470414,0.894910184,0.00185594133,0.675453593,0.115190813,-0.0321075232,0.114969209,9.57849369,-0.0951890767,0.055616166,9.56034174
148.215746,0.478414636,0.883716467,0.00166332085,0.0896811955,0.923108521,-0.169956959,0.0140683331,9.50536753,-0.109080363,0.0478969046,9.55012796
148.218724,0.475199034,0.882678719,0.00151174731,1.43391381,2.73557778,-0.488686294,0.24662268,9.6525257,-0.155788832,0.072349043,9.56272746
148.223448,0.47285625,0.891527822,0.00123647493,0.245837183,1.65381485,-0.304593398,0.0411018658,9.7965897,-0.182884174,0.0666593457,9.60531067
148.226813,0.471675806,0.901751939,0.001037848,0.81760095,1.60481539,-0.3046773,0.14493284,10.0696391,-0.199554249,0.0773727996,9.66886426
148.230727,0.470966091,0.918977805,0.000865808271,0.276082971,2.40212816,-0.412214216,0.0449954101,9.25693934,-0.232669998,0.0723309409,9.60471865
148.235599,0.473980081,0.935848041,0.000793448514,1.34806279,-0.482461021,0.0736179308,0.241767367,10.092524,-0.175479872,0.103968135,9.69580174
148.238829,0.479959955,0.935859072,0.000861918324,1.09458958,-1.31636847,0.212900066,0.185795841,9.48283755,-0.124173088,0.114777953,9.66766818
148.243088,0.489988609,0.930509683,0.00103860045,0.923270794,0.976502223,-0.177014273,0.154877258,9.39299942,-0.133005126,0.121480273,9.6217592
148.246773,0.500264491,0.922625381,0.00123275627,1.10907956,-0.860195692,0.137302867,0.191518438,9.67938445,-0.0930055064,0.131844377,9.63028647
148.250724,0.508653584,0.912342943,0.00138258734,-0.321557262,1.29654375,-0.234023112,-0.0563025696,9.51214878,-0.115139898,0.102312475,9.61174335
148.255564,0.516933213,0.909389377,0.00155407912,1.18978303,1.82460266,-0.337553622,0.208449486,9.86845334,-0.156442714,0.122022398,9.65941508
148.258728,0.521486645,0.91254014,0.00168262776,-0.337722398,1.33017483,-0.247579282,-0.0615484763,9.80545739,-0.168267715,0.0982040125,9.67836412
148.262935,0.524042912,0.92359538,0.00182881016,0.518474998,2.49253002,-0.423768676,0.0848096786,9.18008329,-0.210546222,0.0959876121,9.5959121
148.267874,0.522798647,0.942077061,0.0019279591,-0.216911057,1.05344675,-0.196734394,-0.0396335865,9.71354677,-0.207938738,0.0703841834,9.61811992
148.270789,0.519388626,0.949493928,0.0019215349,0.17363852,-0.311524386,0.0422052125,0.0288691989,9.82626163,-0.177724123,0.0653696337,9.64326113
148.27564,0.513826319,0.945260348,0.00189941501,0.521513515,-1.52801258,0.254748341,0.0897768831,9.71706368,-0.0972580617,0.0699108598,9.65699287
148.278819,0.512062941,0.935736,0.00191482695,0.99578937,0.915359803,-0.166094835,0.166678142,9.36265301,-0.10622738,0.082519478,9.61864087
148.290044,0.523561792,0.88542238,0.00224873815,1.1422245,-0.487948508,0.0705913899,0.191349574,9.34735286,-0.0450546166,0.120170672,9.52478524
148.290208,0.523896111,0.884479104,0.00225598751,-0.351503443,1.73598963,-0.310942721,-0.0619226301,9.55840393,-0.047084854,0.118780265,9.52504194
148.291236,0.526102255,0.879190687,0.00229945223,1.30662762,2.47261117,-0.447415306,0.226613804,9.75098908,-0.0655842797,0.123763295,9.53548305
148.295301,0.533031389,0.864059088,0.00246934935,0.0862429188,1.22243422,-0.230784294,0.0130337997,9.89245138,-0.0921449105,0.105960359,9.59287592
148.298756,0.535582064,0.861567224,0.0026202743,0.146134773,3.36264241,-0.572981132,0.0231606034,9.2581728,-0.159464679,0.0943679287,9.54601561
148.302778,0.537147591,0.869694186,0.00283092796,0.583825527,1.64054623,-0.293909958,0.0985210796,9.53381095,-0.180886447,0.0950296688,9.54407099
148.308248,0.545982566,0.876682959,0.00322913893,1.6971562,-0.212112535,0.0242108638,0.294038556,9.69359603,-0.13885368,0.13581467,9.57471474
148.310749,0.552714515,0.8739491,0.00343429075,0.683712609,-1.00744873,0.164242964,0.118379907,9.76067798,-0.10689918,0.13397658,9.59432024
148.315119,0.563670907,0.860639304,0.00376679423,0.710220306,-0.600516566,0.0915569817,0.121372147,9.6048328,-0.0730057094,0.131823923,9.59611564
148.318766,0.572505522,0.843622667,0.00403325083,0.878848655,-0.680513136,0.103145612,0.147230222,9.35450037,-0.0471740204,0.134083178,9.56068399
148.322866,0.577890237,0.826782134,0.00426006048,-0.565155007,1.58839919,-0.280599264,-0.0966320451,9.40189227,-0.0849693545,0.0967266401,9.53497304
148.327624,0.578549654,0.815362458,0.00445419012,0.588080759,0.75954648,-0.154328349,0.105049515,10.2479952,-0.0976727494,0.09825101,9.66556607
148.33076,0.578854886,0.811876276,0.00459524933,0.554626756,1.64770317,-0.296773165,0.0938870878,9.58477147,-0.123307881,0.0976891341,9.65516338
148.338897,0.574081268,0.817207348,0.00492279923,0.128904975,1.25790935,-0.23299551,0.0206397339,9.72968214,-0.153709008,0.0763340493,9.67581707
148.343571,0.571332376,0.826730135,0.0051211846,1.11448187,1.36005911,-0.247213475,0.190349732,9.58427038,-0.170586336,0.096913602,9.65929312
148.344502,0.571457736,0.82873944,0.00516936274,0.971108552,-0.362865707,0.0510836705,0.169442845,9.81769328,-0.161262498,0.0999643121,9.66595571
148.349011,0.574207194,0.831607033,0.00538548289,0.994929152,-0.49479532,0.0727710812,0.169289514,9.52618545,-0.120255406,0.112111394,9.64146533
148.350841,0.576426718,0.829723729,0.00546290199,1.23060897,-0.397789198,0.0557895484,0.208189215,9.45199343,-0.106279135,0.119739046,9.62642309
148.355942,0.583431073,0.820632563,0.00562509099,0.621667745,0.19492514,-0.045457279,0.105189843,9.51850292,-0.0944905475,0.116919096,9.60550583
148.359875,0.589259721,0.818814357,0.00572618841,0.979449762,2.36849846,-0.43512468,0.171337379,9.88773409,-0.147746626,0.125427065,9.64963051
148.362731,0.593991174,0.822145977,0.0058126588,0.732477023,0.812125898,-0.16104765,0.129790923,10.0754159,-0.149324454,0.125944725,9.70013909
148.367494,0.599499958,0.83487794,0.00599652698,0.282416838,2.32361163,-0.429745476,0.0477624949,9.95184191,-0.20072976,0.11161277,9.74627992
148.370752,0.600128215,0.84963379,0.00615241879,-0.0369616076,1.78414062,-0.317140705,-0.00772234733,9.49591063,-0.216220398,0.0957330167,9.71296364
148.374854,0.59636972,0.86879907,0.00635324258,-0.222178072,0.915081951,-0.167997537,-0.0390158852,9.47841017,-0.208408427,0.0739040661,9.67496662
148.37992,0.588601869,0.884824107,0.00662491526,0.410451358,0.0263107576,-0.0165407939,0.0691628111,9.53013113,-0.171431813,0.0729903343,9.64705401
148.382767,0.584492861,0.886115218,0.00680354223,0.463298096,-1.36902774,0.227566958,0.0797566687,9.7473638,-0.124232416,0.0737907551,9.65892012
148.387292,0.57771961,0.876513407,0.00708581073,0.289184284,-0.625662106,0.0954716065,0.0485678152,9.53847903,-0.0856140677,0.0693572073,9.63774966
148.391829,0.570569485,0.859147694,0.00734580268,0.365586954,-0.327947196,0.0437343308,0.0607418904,9.32369135,-0.0628337291,0.0678399111,9.58243893
148.394784,0.566877247,0.849300054,0.00752187434,0.845575344,1.84607193,-0.334138055,0.144982286,9.66885523,-0.095998954,0.0772700748,9.59300277
148.399585,0.560487659,0.844400947,0.00778346787,0.056825658,1.72491203,-0.314218522,0.0079679925,9.71061507,-0.13626185,0.0644834007,9.61470298
148.402733,0.554453914,0.848811735,0.00791294196,0.0400879977,2.34884197,-0.437119581,0.00434873341,10.0170028,-0.175129811,0.0567145728,9.6666763
148.408239,0.548082245,0.859810051,0.00816576188,1.22459025,0.475321271,-0.0958705038,0.211863354,9.70822302,-0.158802853,0.0886743228,9.67523468
148.410824,0.547381863,0.86404252,0.00830185392,0.290973297,1.31179016,-0.235856619,0.0482852467,9.47752028,-0.167171441,0.0842877811,9.65376149
148.414751,0.546097383,0.87001203,0.00848819939,0.56742392,0.487858745,-0.0949283223,0.0953723793,9.45482182,-0.155889545,0.0860188151,9.62269394
148.419464,0.550688731,0.871111054,0.00879704006,1.8114536,-0.121094274,0.00847132338,0.308858372,9.52096404,-0.126021816,0.126513316,9.60420754
148.422865,0.557824028,0.866174852,0.00908211044,0.638645993,-0.422228898,0.0602824712,0.108074034,9.50095172,-0.100289974,0.123966533,9.58994612
148.426994,0.565840155,0.859619894,0.00940040778,0.707381748,1.1770898,-0.223827379,0.123753954,9.93299524,-0.120414784,0.123931903,9.6458304
148.431899,0.577893781,0.862887017,0.00977110377,1.37321253,2.26648124,-0.406434625,0.235947446,9.64112852,-0.174109824,0.14496079,9.64494771
148.434777,0.584647625,0.870305658,0.00996484424,-0.116156997,1.46426836,-0.275142111,-0.0231722764,9.93783795,-0.186174601,0.12488317,9.67992321
148.439529,0.592432825,0.892836387,0.010230806,0.712138108,3.03027417,-0.531419599,0.119904698,9.50450244,-0.249345486,0.123972239,9.64782576
148.443804,0.598586915,0.916604044,0.01046892,0.639979437,0.386005476,-0.0818264044,0.111456053,9.88063785,-0.221257762,0.121873665,9.68686108
148.446897,0.600772386,0.92948485,0.0106054052,-0.219748874,0.739599656,-0.135989187,-0.0377622573,9.35240239,-0.210408561,0.101562288,9.64430602
148.451819,0.598497553,0.935572181,0.0107160075,0.0253521134,-1.35355095,0.228095167,0.00280590441,9.8992233,-0.12785113,0.0829693484,9.69229949
148.454894,0.597118873,0.928754676,0.0107783606,1.34562657,-0.763474295,0.117392313,0.22644608,9.38783376,-0.0968112354,0.101128866,9.65376397
148.459314,0.596987358,0.915153843,0.0108873768,0.413080395,0.477441373,-0.0918371131,0.0686230979,9.34385939,-0.0959538259,0.0955257157,9.60034447
